microherbivore_species;n;organ;role;phase
Macrosiphoniella madeirensis;1;S;V;NA
Macrosiphoniella miestingeri;1;L;G;NA
Macrosiphoniella millefolii;12;X;V;NA
Macrosiphoniella mutellinae;2;L;V;NA
Macrosiphoniella oblonga;9;L;V;NA
Macrosiphoniella persequens;2;L;V;NA
Macrosiphoniella ptarmiae;1;L;V;NA
Macrosiphoniella ptarmicae;1;X;V;NA
Macrosiphoniella pulvera;3;L;V;NA
Macrosiphoniella sanborni;3;L;V;NA
Macrosiphoniella scopariae;1;L;V;NA
Macrosiphoniella sejuncta;1;L;V;NA
Macrosiphoniella silvestrii;3;L;V;NA
Macrosiphoniella soosi;3;L;V;NA
Macrosiphoniella staegeri;4;S;V;NA
Macrosiphoniella subaequalis;3;S;V;NA
Macrosiphoniella subterranea;2;L;V;NA
Macrosiphoniella tanacetaria;17;L;G;NA
Macrosiphoniella tapuskae;15;L;V;NA
Macrosiphoniella teriolana;1;L;V;NA
Macrosiphoniella usquertensis;18;L;V;NA
Macrosiphoniella vallesiacae;1;S;V;NA
Macrosiphoniella xeranthemi;3;NA;NA;NA
Macrosiphum albertinae;2;L;V;NA
Macrosiphum albifrons;2;L;V;NA
Macrosiphum alpinum;3;L;V;NA
Macrosiphum atragenae;1;L;V;NA
Macrosiphum centranthi;3;L;V;NA
Macrosiphum cerinthiacum;2;L;V;NA
Macrosiphum cholodkovskyi;5;L;G;NA
Macrosiphum daphnidis;3;L;V;NA
Macrosiphum dryopteridis;12;L;V;NA
Macrosiphum equiseti;4;S;V;NA
Macrosiphum euphorbiae;134;L;V;NA
Macrosiphum euphorbiellum;6;S;V;NA
Macrosiphum funestum;4;L;V;NA
Macrosiphum gei;14;X;V;NA
Macrosiphum hartigi;1;X;V;NA
Macrosiphum hellebori;8;L;G;NA
Macrosiphum holmani;1;X;V;NA
Macrosiphum knautiae;5;L;V;NA
Macrosiphum lapponicum;1;U;V;NA
Macrosiphum laseri;2;X;V;NA
Macrosiphum lisae;1;L;V;NA
Macrosiphum meixneri;2;S;V;NA
Macrosiphum melampyri;4;L;V;NA
Macrosiphum nasonovi;4;L;V;NA
Macrosiphum oredonense;1;S;V;NA
Macrosiphum penfroense;1;X;V;NA
Macrosiphum polanense;1;X;V;NA
Macrosiphum prenanthidis;1;X;V;NA
Macrosiphum ptericolens;1;L;V;NA
Macrosiphum ranunculi;4;X;V;NA
Macrosiphum rosae;35;S;V;summer
Macrosiphum rubiarctici;3;X;V;NA
Macrosiphum stellariae;10;S;V;NA
Macrosiphum symphyti;2;L;V;NA
Macrosiphum tinctum;6;S;V;NA
Macrosiphum trollii;1;L;V;NA
Macrosiphum weberi;2;S;V;NA
Macrosporium abutilonis;1;L;F;NA
Macrosporium arnicae;1;L;F;NA
Macrosporium camelliae;1;L;F;NA
Macrosporium cannabinum;2;L;F;NA
Macrosporium cladosporioides;7;L;F;NA
Macrosporium compactum;1;L;F;NA
Macrosporium concentricum;1;R;film;NA
Macrosporium convolvuli;1;L;F;NA
Macrosporium digitalis;1;L;F;NA
Macrosporium medicaginis;1;L;F;NA
Macrosporium papaveris;1;F;D;NA
Macrosporium pelargonii;1;L;F;NA
Macrosporium schemnitziense;1;L;F;NA
Macrosporium schini;1;L;F;NA
Macrosporium trisectum;1;L;F;NA
Macrosporium uvarum;1;F;F;NA
Macrosteles alpinus;3;L;V;NA
Macrosteles cristatus;2;L;V;NA
Macrosteles empetri;2;L;V;NA
Macrosteles fieberi;4;L;V;NA
Macrosteles frontalis;2;L;V;NA
Macrosteles horvathi;3;L;V;NA
Macrosteles lividus;2;L;V;NA
Macrosteles maculosus;2;L;V;NA
Macrosteles nubilus;1;L;V;NA
Macrosteles oshanini;1;L;V;NA
Macrosteles ossiannilssoni;3;L;V;NA
Macrosteles quadripunctulatus;4;L;V;NA
Macrosteles sardus;1;L;V;NA
Macrosteles septemnotatus;1;L;V;NA
Macrosteles sexnotatus;8;L;V;NA
Macrosteles sordidipennis;2;L;V;NA
Macrosteles variatus;3;L;V;NA
Macrosteles viridigriseus;2;L;V;NA
Macrothylacia rubi;53;L;V;NA
Macrotylus ancoratus;1;L;V;NA
Macrotylus ancyranus;1;L;V;NA
Macrotylus atricapillus;2;L;V;NA
Macrotylus bernadettae;1;L;V;NA
Macrotylus bicolor;1;L;V;NA
Macrotylus bipunctatus;2;L;V;NA
Macrotylus cruciatus;1;L;V;NA
Macrotylus dentifer;1;L;V;NA
Macrotylus elevatus;1;L;V;NA
Macrotylus galatinus;1;L;V;NA
Macrotylus herrichi;4;L;V;NA
Macrotylus horvathi;1;L;V;NA
Macrotylus josephinae;1;L;V;NA
Macrotylus longulus;2;L;V;NA
Macrotylus mayri;1;L;V;NA
Macrotylus nasutus;2;L;V;NA
Macrotylus paykullii;5;L;V;NA
Macrotylus perdictus;1;L;V;NA
Macrotylus phlomidis;1;L;V;NA
Macrotylus quadrilineatus;1;L;V;NA
Macrotylus seidenstueckeri;4;L;V;NA
Macrotylus solitarius;4;L;V;NA
Macrotylus soosi;1;L;V;NA
Macrotylus syriacus;1;L;V;NA
Maculolachnus submacula;8;C;V;NA
Macustus grisescens;5;L;V;NA
Magdalis armigera;3;S;B;NA
Magdalis barbicornis;7;S;B;NA
Magdalis carbonaria;1;S;B;NA
Magdalis caucasica;3;S;B;NA
Magdalis cerasi;7;S;B;NA
Magdalis duplicata;4;S;B;NA
Magdalis exarata;5;S;B;NA
Magdalis fallax;1;U;U;NA
Magdalis flavicornis;4;S;B;NA
Magdalis frontalis;4;S;B;NA
Magdalis fuscicornis;1;S;B;NA
Magdalis linearis;2;S;B;NA
Magdalis longicornis;1;S;B;NA
Magdalis memnonia;5;S;B;NA
Magdalis nitida;4;S;B;NA
Magdalis nitidipennis;3;S;B;NA
Magdalis phlegmatica;4;S;B;NA
Magdalis punctirostris;1;U;U;NA
Magdalis punctulata;2;S;B;NA
Magdalis rufa;3;S;B;NA
Magdalis ruficornis;11;L;V;imago
Magdalis violacea;3;S;B;NA
Maiestas horvathi;2;L;V;NA
Maiestas schmidtgeni;1;L;V;NA
Mainsia urediniformis;1;L;P;23
Malacocoris chlorizans;14;NA;Pre;NA
Malacosoma alpicola;16;L;V;NA
Malacosoma castrensis;29;L;V;NA
Malacosoma franconica;13;L;V;NA
Malacosoma laurae;10;L;V;NA
Malacosoma neustria;36;L;V;NA
Malacotes abeillei;1;L;V;NA
Malacotes mulsanti;2;L;V;NA
Malacotes phlomidis;2;L;V;NA
Malenia bosnica;1;U;U;NA
Malvaevora timida;6;U;U;NA
Malvapion malvae;11;F;G;NA
Mamestra brassicae;20;L;V;NA
Mamianiella coryli;1;L;F;NA
Maniola jurtina;16;L;V;NA
Mantura chrysanthemi;6;L;M;NA
Mantura horioni;1;L;M;NA
Mantura matthewsi;1;L;M;NA
Mantura obtusata;3;L;M;NA
Mantura rustica;9;L;M;NA
Maraschia grisescens;2;L;V;NA
Marasmarcha lunaedactyla;5;L;V;NA
Marasmarcha oxydactylus;4;L;V;NA
Marchalina hellenica;10;S;SC;NA
Marietta leopardina;1;NA;NA;NA
Marmaropus besseri;2;C;B;larva
Marssonia aegopodii;1;L;F;NA
Marssonia andurnensis;1;S;F;NA
Marssonia atragenes;1;L;F;NA
Marssonia campanulae;1;L;F;NA
Marssonia chamerionis;1;L;F;NA
Marssonia clematidis;1;L;F;NA
Marssonia delastrei;5;L;F;NA
Marssonia grossulariae;1;S;F;NA
Marssonia lappae;1;L;F;NA
Marssonia melampyri;1;L;F;NA
Marssonia myricariae;1;L;F;NA
Marssonia pyrenaica;1;L;F;NA
Marssonia salicis;1;L;F;NA
Marssonia smilacina;1;L;F;NA
Marssonina actaeae;6;L;F;NA
Marssonina alni;1;L;F;NA
Marssonina aquilegiae;1;L;F;NA
Marssonina baptisiae;1;L;F;NA
Marssonina betulae;1;L;F;NA
Marssonina daphnes;2;L;F;NA
Marssonina dispersa;1;L;F;NA
Marssonina forsythiae;1;L;F;NA
Marssonina kriegeriana;1;L;F;NA
Marssonina moravica;1;L;F;NA
Marssonina omphalodis;1;L;F;NA
Marssonina salicicola;3;L;F;NA
Marssonina tremuloides;1;L;F;NA
Marthamyces panizzei;1;L;F;NA
Marumba quercus;4;L;V;NA
Massalongia bachmaieri;1;L;G;NA
Massalongia betulifolia;1;L;G;NA
Massalongia rubra;2;L;G;NA
Mastigosporium album;9;L;F;NA
Mastigosporium deschampsiae;1;L;F;NA
Mastigosporium kitzebergense;2;L;F;NA
Mastigosporium muticum;2;L;F;NA
Mastigosporium rubricosum;15;L;F;NA
Matilella fusca;2;L;V;NA
Matsucoccus feytaudi;2;S;SC;NA
Matsucoccus josephi;3;S;V;NA
Matsucoccus pini;4;S;V;NA
Matutinus putoni;1;L;V;NA
Maurodactylus albidus;2;L;V;NA
Mayetiola agrostidis;2;C;G;NA
Mayetiola agrostivora;1;S;G;NA
Mayetiola alopecuri;1;C;G;NA
Mayetiola avenae;2;S;G;NA
Mayetiola baudysi;1;S;G;NA
Mayetiola bifida;1;C;G;NA
Mayetiola bimaculata;1;S;G;NA
Mayetiola bromi;2;S;G;NA
Mayetiola bromicola;5;C;G;NA
Mayetiola buhri;1;S;G;NA
Mayetiola culacera;1;S;G;NA
Mayetiola dactylidis;2;C;G;NA
Mayetiola destructor;10;S;G;NA
Mayetiola festucae;1;C;G;NA
Mayetiola graminis;5;S;G;NA
Mayetiola heirochloae;1;S;G;NA
Mayetiola hellwigi;2;S;G;NA
Mayetiola holci;2;S;G;NA
Mayetiola hordei;2;C;G;NA
Mayetiola joannisi;2;C;G;NA
Mayetiola lanceolatae;3;B;G;NA
Mayetiola moliniae;1;C;G;NA
Mayetiola phalaris;1;S;G;NA
Mayetiola puccinelliae;1;C;G;NA
Mayetiola radicifica;1;C;G;NA
Mayetiola schoberi;1;C;G;NA
Mayetiola spec. Milium effusum;1;S;G;NA
Mayetiola ventricola;2;C;G;NA
Mecaspis alternans;3;R;B;larva
Mecaspis emarginata;2;U;U;NA
Mecaspis nana;1;U;U;NA
Mecidea lindbergi;2;L;V;NA
Mecinus alboscutellatus;2;F;G;NA
Mecinus aubei;1;S;G;larva
Mecinus barbarus;10;S;G;NA
Mecinus bulgaricus;1;U;U;NA
Mecinus caucasicus;1;U;U;NA
Mecinus circulatus;6;X;G;larva
Mecinus collaris;8;X;G;NA
Mecinus comosus;2;X;G;larva
Mecinus crassifemur;1;F;B;larva
Mecinus dorsalis;7;S;G;NA
Mecinus elongatus;1;L;V;Imago
Mecinus haemorrhoidalis;1;U;U;NA
Mecinus heydeni;4;S;G;NA
Mecinus humeralis;1;L;V;Imago
Mecinus ictericus;2;F;B;NA
Mecinus janthiniformis;2;S;G;larva
Mecinus janthinus;5;L;V;Imago
Mecinus kaemmereri;1;U;B;larva
Mecinus labilis;1;C;B;larva
Mecinus laeviceps;2;S;G;NA
Mecinus latiusculus;2;F;B;larva
Mecinus marina;1;U;U;NA
Mecinus pascuorum;1;F;B;NA
Mecinus peterharrisi;1;S;G;NA
Mecinus pirazzolii;1;F;B;larva
Mecinus plantaginis;1;F;B;NA
Mecinus pyraster;3;X;G;NA
Mecinus raphaelis;1;U;U;NA
Mecinus seriatus;3;L;V;Imago
Mecinus sicardi;2;C;G;NA
Mecinus simus;3;X;B;larva
Mecinus suturalis;3;U;B;larva
Mecinus tavaresi;1;U;G;larva
Mecinus tychioides;1;L;V;Imago
Mecinus variabilis;2;U;U;larva
Mecomma ambulans;4;L;V;NA
Meconema thalassinum;1;B;F;NA
Mecorhis ungarica;4;X;B;NA
Mecyna asinalis;3;L;H;NA
Mecyna balcanica;2;U;U;NA
Mecyna flavalis;8;L;H;NA
Mecyna trinalis;1;U;U;NA
Meenoplus albosignatus;2;L;V;NA
Megabruchidius dorsalis;3;F;B;NA
Megabruchidius sophorae;1;F;B;NA
Megabruchidius tonkineus;1;F;B;NA
Megacoelum angustum;1;L;V;NA
Megacoelum beckeri;8;L;V;NA
Megacoelum infusum;8;L;V;NA
Megacoelum myrti;1;L;V;NA
Megacraspedus dolosellus;5;R;B;NA
Megacraspedus lanceolellus;1;S;B;NA
Megacraspedus peyerimhoffi;1;S;B;NA
Megacraspedus squallida;1;S;B;NA
Megadelphax haglundi;1;L;V;NA
Megadelphax sordidulus;3;L;V;NA
Megagonoscena gallicola;2;L;G;NA
Megagonoscena viridis;3;L;G;NA
Megaloceroea recticornis;12;X;V;NA
Megalocoleus aurantiacus;4;L;V;NA
Megalocoleus bolivari;2;L;V;NA
Megalocoleus delicatus;5;L;V;NA
Megalocoleus dissimilis;3;L;V;NA
Megalocoleus exsanguis;3;L;V;NA
Megalocoleus krueperi;1;L;V;NA
Megalocoleus longirostris;4;L;V;NA
Megalocoleus lunula;3;L;V;NA
Megalocoleus mellae;1;L;V;NA
Megalocoleus molliculus;28;X;V;NA
Megalocoleus naso;2;L;V;NA
Megalocoleus tanaceti;7;X;V;NA
Megalocoleus tarsalis;3;L;V;NA
Megalodactylus macularubra;2;L;V;NA
Megalodontes cephalotes;6;L;V;NA
Megalodontes panzeri;1;L;V;NA
Megalodontes plagiocephalus;1;L;V;NA
Megalodontes thor;3;L;V;NA
Megalonotus antennatus;2;NA;NA;NA
Megalonotus chiragra;1;seeds;V;NA
Megalonotus dilatatus;2;seeds;V;NA
Megalonotus emarginatus;1;Seeds;V;NA
Megalonotus hirsutus;1;Seeds;V;NA
Megalonotus mixtus;1;Seeds;V;NA
Megalonotus praetextatus;6;Seeds;V;NA
Megalonotus puncticollis;1;Seeds;V;NA
Megalonotus sabulicola;3;Seeds;V;NA
Megalotomus junceus;5;L;V;NA
Megalotomus ornaticeps;1;L;V;NA
Megalycinia serraria;3;L;V;NA
Megamelodes lequesnei;4;L;V;NA
Megamelodes quadrimaculatus;8;L;V;NA
Megamelus notulus;6;L;V;NA
Meganephria bimaculosa;3;L;V;NA
Meganola albula;7;L;V;NA
Meganola kolbi;1;L;V;NA
Meganola strigula;2;L;V;NA
Meganola togatulalis;8;L;V;NA
Megaselia praeacuta;1;L;M;NA
Megasis rippertella;1;U;U;NA
Megastigmus aculeatus;19;F;B;NA
Megastigmus amicorum;3;seeds;B;NA
Megastigmus atedius;6;X;B;NA
Megastigmus bipunctatus;2;X;B;NA
Megastigmus borrieri;1;seeds;B;NA
Megastigmus brevicaudis;4;F;B;NA
Megastigmus lasiocarpae;1;F;B;NA
Megastigmus milleri;8;X;B;NA
Megastigmus nigrovariegatus;1;F;B;NA
Megastigmus pictus;5;X;B;NA
Megastigmus pinsapinis;7;X;B;NA
Megastigmus pinus;11;X;B;NA
Megastigmus pistaciae;6;F;B;NA
Megastigmus rafni;16;X;B;NA
Megastigmus rosae;8;F;B;NA
Megastigmus schimitscheki;4;X;B;NA
Megastigmus specularis;15;X;B;NA
Megastigmus spermotrophus;1;X;B;NA
Megastigmus strobilobius;3;X;B;NA
Megastigmus suspectus;12;X;B;NA
Megastigmus thuriferana;1;seeds;B;NA
Megastigmus transvaalensis;2;F;B;NA
Megastigmus wachtli;4;X;B;NA
Megophthalmus scabripennis;2;L;V;NA
Megophthalmus scanicus;3;L;V;NA
Megoura litoralis;4;S;V;NA
Megoura viciae;27;L;G;NA
Megourella purpurea;1;C;V;NA
Megourella tribulis;2;C;V;NA
Meira gerundana;1;U;U;NA
Meira lavagnei;1;U;U;NA
Meira mariaesilvanae;1;U;U;NA
Meira tarraconenis;1;U;U;NA
Meira tedeschii;1;U;U;NA
Meirella florentina;4;U;U;NA
Meirella suturella;7;U;U;NA
Melaleucus spoliatus;1;U;U;NA
Melampsora abietis-caprearum;14;L;P;01
Melampsora aecidioides;3;L;P;23
Melampsora allii-fragilis;20;L;P;01
Melampsora allii-populina;21;L;P;01
Melampsora amygdalinae;2;L;P;0123
Melampsora apocyni;2;L;P;23
Melampsora arctica;19;L;P;23
Melampsora caballeroi;1;L;P;23
Melampsora caprearum;11;L;P;01
Melampsora castellana;1;L;P;23
Melampsora daphnicola;1;L;P;summer
Melampsora dupiasii;1;L;P;0123
Melampsora durrieui;1;L;P;0123
Melampsora epitea;58;L;P;01
Melampsora euonymi-caprearum;8;L;P;01
Melampsora euphorbiae;58;L;P;0123
Melampsora euphorbiae-amygdaloidis;1;L;P;23
Melampsora euphorbiae-dulcis;13;L;P;0123
Melampsora euphorbiae-gerardiana;6;L;P;23
Melampsora galanthi-fragilis;6;L;P;01
Melampsora gelmii;4;L;P;23
Melampsora helioscopiae;3;L;P;0123
Melampsora hirculi;1;L;P;23
Melampsora hypericorum;32;L;P;13
Melampsora lapponum;2;L;P;23
Melampsora laricis-epitea;31;L;P;01
Melampsora laricis-pentandrae;4;L;P;01
Melampsora laricis-populina;11;L;P;01
Melampsora laricis-tremulae;6;L;P;01
Melampsora lini;1;L;P;23
Melampsora liniperda;19;L;P;0123
Melampsora magnusiana;10;L;P;01
Melampsora medusae;4;L;P;23
Melampsora pedicularis;1;L;P;23
Melampsora pinitorqua;11;S;P;01
Melampsora populnea;21;L;P;01
Melampsora pulcherrima;3;L;P;01
Melampsora repentis;19;L;P;01
Melampsora reticulatae;7;L;P;23
Melampsora ribesii-epitea;14;L;P;01
Melampsora ribesii-purpureae;9;L;P;01
Melampsora ribesii-viminalis;7;L;P;01
Melampsora ricini;4;L;P;23
Melampsora rostrupii;5;L;P;01
Melampsora salicis-albae;9;L;P;01
Melampsora vernalis;1;L;P;0123
Melampsorella caryophyllacearum;31;L;P;01
Melampsorella symphyti;11;L;P;01
Melampsoridium betulinum;20;L;P;23
Melampsoridium carpini;3;L;P;23
Melampsoridium hiratsukanum;8;L;P;23
Melanagromyza achilleacaulis;1;S;B;NA
Melanagromyza aenea;1;S;B;NA
Melanagromyza aeneoventris;8;S;B;NA
Melanagromyza albocilia;1;S;B;NA
Melanagromyza angeliciphaga;4;S;B;NA
Melanagromyza arnicarum;1;S;B;NA
Melanagromyza artemisiae;1;S;B;NA
Melanagromyza astragali;1;S;B;NA
Melanagromyza chaerophylli;5;S;B;NA
Melanagromyza cunctans;4;S;G;NA
Melanagromyza cuscutae;3;S;G;summer
Melanagromyza dettmeri;4;S;B;NA
Melanagromyza eriolepidis;1;S;B;NA
Melanagromyza eupatorii;5;S;B;NA
Melanagromyza fabae;1;R;B;NA
Melanagromyza ferulae;1;S;B;NA
Melanagromyza foeniculi;1;S;B;NA
Melanagromyza galegae;1;S;B;NA
Melanagromyza heracleana;3;S;B;NA
Melanagromyza lappae;2;S;B;NA
Melanagromyza limata;2;S;B;NA
Melanagromyza moatesi;1;S;B;NA
Melanagromyza nibletti;1;S;B;NA
Melanagromyza nigrissima;2;S;B;NA
Melanagromyza oligophaga;13;S;B;NA
Melanagromyza polemonii;1;S;B;NA
Melanagromyza pratensis;1;S;B;NA
Melanagromyza pubescens;1;U;U;NA
Melanagromyza sativae;8;S;B;NA
Melanagromyza siciliensis;1;NA;NA;NA
Melanagromyza sojae;2;S;B;NA
Melanagromyza submetallescens;7;S;B;NA
Melanagromyza symphyti;1;S;B;NA
Melanagromyza tripolii;1;S;B;NA
Melanagromyza tschirnhausi;3;S;B;NA
Melanagromyza verbasci;3;S;B;NA
Melanaphis bambusae;7;L;V;NA
Melanaphis donacis;3;L;V;NA
Melanaphis elizabethae;1;X;V;NA
Melanaphis luzulella;2;L;V;NA
Melanaphis pyraria;16;L;V;summer
Melanapion minimum;13;NA;I;larva
Melanargia galathea;5;L;V;NA
Melanargia ines;1;L;V;NA
Melanargia occitanica;4;L;V;NA
Melanargia russiae;1;L;V;NA
Melanaspis inopinata;36;NA;SC;NA
Melanchra persicariae;55;L;V;NA
Melanconis modonia;1;S;CA;NA
Melanconis stilbostoma;2;L;F;ana
Melanobaris atramentaria;3;U;U;NA
Melanobaris carbonaria;2;U;U;NA
Melanobaris dalmatina;1;C;B;NA
Melanobaris gloriae;1;R;B;NA
Melanobaris hochhuthi;1;U;U;NA
Melanobaris laticollis;10;C;B;NA
Melanobaris morio;2;R;B;larva
Melanobaris nigritarsis;4;U;U;NA
Melanobaris quadraticollis;4;S;B;NA
Melanobaris semistriata;3;U;U;NA
Melanobaris sinapis;5;U;U;NA
Melanocoryphus albomaculatus;5;F;V;NA
Melanophila acuminata;16;S;B;NA
Melanophila cuspidata;16;S;B;NA
Melanops araucariae;1;L;P;NA
Melanopsichium austro-americanum;1;X;G;NA
Melanopsichium pennsylvanicum;6;X;G;NA
Melanotaenium adoxae;1;L;G;NA
Melanotaenium antirrhini;1;L;G;NA
Melanotaenium cingens;3;L;G;NA
Melanotaenium endogenum;8;S;G;NA
Melanotaenium hypogaeum;2;C;G;NA
Melanotaenium jaapi;3;R;G;NA
Melanoxa oxalidiella;1;L;G;NA
Melanthia alaudaria;2;L;V;NA
Melanthia procellata;1;L;V;NA
Melanthrips acetosellae;1;X;H;NA
Melanthrips areolatus;1;U;U;NA
Melanthrips ficalbii;8;X;H;NA
Melanthrips fuscus;59;X;H;NA
Melanthrips hispanicus;3;U;U;NA
Melanthrips knechteli;7;X;H;NA
Melanthrips libycus;15;U;U;NA
Melanthrips matthiolae;1;U;U;NA
Melanthrips nigricornis;1;U;U;NA
Melanthrips pallidior;71;X;H;NA
Melanthrips paspalevi;3;X;H;NA
Melanthrips rivnayi;6;U;U;NA
Melanthrips titschacki;2;X;H;NA
Melanthrips tortus;2;U;U;NA
Melanthrips trifasciatus;3;U;U;NA
Melanthrips tristis;2;U;U;NA
Melanum laterale;1;U;U;NA
Melanustilospora ari;7;L;G;NA
Melanustilospora arisari;1;L;F;NA
Melaphis rhois;2;L;G;spring
Melasmia berberidis;1;L;F;NA
Melasmia dryadis;1;L;F;NA
Melasmia lonicerae;1;L;F;NA
Meliboeus aeratus;1;S;B;NA
Meliboeus amethystinus;11;S;B;NA
Meliboeus episcopalis;2;R;B;NA
Meliboeus gibbicollis;1;S;B;NA
Meliboeus graminioides;1;R;B;NA
Meliboeus graminis;9;R;B;NA
Meliboeus granulatus;2;S;B;NA
Meliboeus kubani;1;U;B;NA
Meliboeus makrisi;1;S;B;NA
Meliboeus morawitzi;1;S;B;NA
Meliboeus parvulus;5;R;B;NA
Meliboeus santolinae;2;S;B;NA
Meliboeus subulatus;2;R;B;NA
Meliboeus violaceus;2;S;B;NA
Meliboeus zoe;1;R;B;NA
Melieria cana;1;S;B;NA
Melieria crassipennis;1;S;B;NA
Melieria omissa;1;S;B;NA
Melieria picta;1;S;B;NA
Meligethes atratus;5;X;B;NA
Meligethes denticulatus;1;X;B;NA
Meligethes flavimanus;7;X;B;NA
Meligethinus pallidulus;1;X;B;NA
Melillaia desbrochersi;3;L;V;NA
Meliola cyperi f. italica;1;L;D;NA
Meliola niessliana;1;L;D;NA
Melitaea aetherie;11;L;V;NA
Melitaea arduinna;5;L;V;NA
Melitaea athalia;11;L;V;NA
Melitaea aurelia;7;L;V;NA
Melitaea cinxia;8;L;V;NA
Melitaea deione;5;L;V;NA
Melitaea diamina;6;L;V;NA
Melitaea didyma;18;L;V;NA
Melitaea ignasiti;2;L;V;NA
Melitaea ornata;10;L;V;NA
Melitaea parthenoides;2;L;V;NA
Melitaea phoebe;7;L;V;NA
Melitaea pseudornata;8;L;V;NA
Melitaea trivia;2;L;V;NA
Melitaea varia;3;L;V;NA
Meloderma desmazieri;1;L;P;NA
Meloidogyne ardenensis;7;R;G;NA
Meloidogyne arenaria;9;R;G;NA
Meloidogyne artiellia;3;L;G;NA
Meloidogyne chitwoodi;3;R;G;NA
Meloidogyne hapla;142;R;G;NA
Meloidogyne hapla;1;R;G;NA
Meloidogyne incognita;6;R;G;NA
Meloidogyne javanica;19;R;G;NA
Meloidogyne naasi;11;R;G;NA
Meloidogyne thamesi;2;R;G;NA
Melomastia mastoidea;1;L;F;NA
Mendrausus pauxillus;1;L;V;NA
Menesia bipunctata;5;DW;B;NA
Menophra abruptaria;20;L;V;NA
Menophra canariensis;1;L;V;NA
Menophra harterti;2;L;V;NA
Menophra japygiaria;2;L;V;NA
Menophra nycthemeraria;6;L;V;NA
Mercetaspis benitezi;1;S;SC;NA
Mercetaspis halli;14;L;SC;NA
Mercetaspis isis;1;U;SC;NA
Mercetaspis sphaerocarpae;1;S;SC;NA
Mercetaspis sureyana;1;U;SC;NA
Mermitelocerus schmidtii;11;L;V;NA
Merodon aberrans;1;R;B;NA
Merodon alexandri;2;R;B;NA
Merodon armipes;2;R;B;NA
Merodon aureus;1;R;B;NA
Merodon avidus;2;R;B;NA
Merodon bombiformis;1;R;B;NA
Merodon calcaratus;1;R;B;NA
Merodon cinereus;1;R;B;NA
Merodon constans;3;R;B;NA
Merodon dobrogensis;1;R;B;NA
Merodon eques;2;R;B;NA
Merodon equestris;6;R;B;NA
Merodon flavus;1;R;B;NA
Merodon geniculatus;4;R;B;NA
Merodon hurkmansi;1;R;B;NA
Merodon loewi;1;R;B;NA
Merodon luteihumerus;1;R;B;NA
Merodon nigritarsis;2;R;B;NA
Merodon rufus;1;R;B;NA
Merodon trochantericus;1;R;B;NA
Meromyza bohemica;1;S;B;NA
Meromyza femorata;4;S;B;NA
Meromyza laeta;2;S;B;NA
Meromyza mosquensis;6;S;B;NA
Meromyza nigriseta;5;S;B;NA
Meromyza nigriventris;27;S;B;NA
Meromyza ornata;1;S;B;NA
Meromyza palposa;2;S;B;NA
Meromyza pluriseta;1;S;B;NA
Meromyza pratorum;12;S;B;NA
Meromyza rufa;1;S;B;NA
Meromyza saltatrix;7;S;B;NA
Meromyza triangulina;3;S;B;NA
Meromyza variegata;7;S;B;NA
Meromyza zachvatkini;1;S;B;NA
Meromyza zimzerla;5;S;B;NA
Merrifieldia baliodactylus;1;L;V;NA
Merrifieldia bystropogonis;2;X;H;NA
Merrifieldia chordodactylus;2;L;V;NA
Merrifieldia hedemanni;1;L;V;NA
Merrifieldia leucodactyla;6;L;V;NA
Merrifieldia malacodactylus;12;L;V;NA
Merrifieldia menthae;2;U;U;NA
Merrifieldia particiliata;2;L;V;NA
Merrifieldia renatae;1;L;V;NA
Merrifieldia semiodactylus;1;L;V;NA
Merrifieldia tridactyla;11;X;V;NA
Merulempista cingillella;2;X;H;NA
Merulempista turturella;1;X;H;NA
Merzomyia westermanni;2;X;B;NA
Mesagroicus obscurus;1;U;U;larva
Mesalox daphnei;1;L;G;NA
Mesapamea secalella;2;S;B;NA
Mesapamea secalis;8;S;B;NA
Meselatus bicolor;1;F;G;NA
Mesobryobia terpoghossiani;2;L;V;NA
Mesogona acetosellae;2;L;V;NA
Mesogona oxalina;7;L;V;NA
Mesoleuca albicillata;7;L;V;NA
Mesoligia furuncula;6;S;B;NA
Mesoneura lanigera;2;L;V;NA
Mesoneura opaca;4;L;V;NA
Mesophleps corsicella;4;F;B;NA
Mesophleps oxycedrella;9;X;B;NA
Mesophleps silacella;3;F;B;NA
Mesopolobus meridionalis;1;NA;NA;NA
Mesoprionus asiaticus;3;DW;B;NA
Mesoprionus besikanus;6;DW;B;NA
Mesoprionus lefebvrei;5;DW;B;NA
Mesoprionus persicus;1;DW;B;NA
Mesosa curculionoides;40;DW;B;NA
Mesosa nebulosa;24;DW;B;NA
Mesotrichapion punctirostre;10;X;G;NA
Mesotype didymata;13;X;V;NA
Mesotype verberata;2;X;V;NA
Mesoxyonyx hispanicus;1;U;U;NA
Mesoxyonyx osellanus;1;U;U;NA
Mesoxyonyx sicardi;1;U;U;NA
Metacanthus annulosus;1;L;Pre;NA
Metacanthus meridionalis;2;L;V;NA
Metacapnodium ericophilum;1;S;D;NA
Metachrostis dardouini;1;F;B;NA
Metachrostis velox;3;F;B;NA
Metacoleroa dickiei;1;L;F;NA
Metaculus diplotaxi;1;Sys;G;NA
Metaculus lepidifolii;1;L;V;NA
Metaculus rapistri;2;L;G;NA
Metadenopus festucae;4;S;SC;NA
Metadonus distinguendus;2;U;U;NA
